_id,action,data,raw,time,user
vBHwm4FFjZ3sQ9Seb,search,{},"{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765595296.0002,-1105628286
RmuLHaWrQ7i2zPEbN,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1599765595374.0,-1105628286
R9mKeq5nxjoTPoF7p,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599765595379.0,-1105628286
QkchNJ2tYMdgWJhDF,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1599765595379.0,-1105628286
R4cwisgZjWFtCkNFy,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765595789.0,-1105628286
o6rhPETjBAtdWfxTE,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599766427194.0,-1105628286
zAG4TcMEiGTdPwjJ8,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599766427204.0,-1105628286
J3kDAHegzz3Yu4KNC,user justification,"{'strings': {'Name': '', 'Keyword': 'police', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""police"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to read the police report.', 'reasoningSelect': 'Just exploring the data'}","""{\""reasoningText\"":\""I want to read the police report.\"",\""reasoningSelect\"":\""Just exploring the data\"",\""searchText\"":\""Any Document mentioning \\\""police\\\"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT\""}""",1599766441146.0,-1105628286
wbcxgTw2pCgmzYZod,search,"{'strings': {'Name': '', 'Keyword': 'police', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""police"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to read the police report.', 'reasoningSelect': 'Just exploring the data'}","{""query"":{""$and"":[{""Keyword"":""/police/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766441154.0,-1105628286
zMPqA2aJZjouXEjyX,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599766441175.0,-1105628286
fd3tBKPT58FrT8kzu,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599766441177.0,-1105628286
ELQpMuxGzrMAGPPxu,search,"{'strings': {'Name': '', 'Keyword': 'police', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""police"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to read the police report.', 'reasoningSelect': 'Just exploring the data'}","{""query"":{""$and"":[{""Keyword"":""/police/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766441179.0,-1105628286
nXZNEikXpMH27Pwpp,open modal,"{'_id': {'$oid': '5f109cbf6e8bb4f66633b25e'}, 'Body': ""POLICE REPORT\n\nDate: Friday, May 8, 2020\nTime: 3:00 PM\nLocation: Roadeez, Boston, MA\n\nSUMMARY: This afternoon it was discovered that sensative, proprietary software from Roadeez, a Boston self-driving car startup company, has fallen into the hands of a competitor, CARGO. It is not known how CARGO obtained the software, but it was obtained illegally. Our cyber crimes division suspects an insider attack, which means a Roadeeze employee collaborated with someone at CARGO to give them the software.\n\nWe are consulting with San Francisco Police to investigate.\n\nDATES: The crime most likely occured between the dates of Monday, May 4, 2020 and today, Friday, May 8, 2020\n\nMOTIVE: The software in question, roadnav.exe, is extremely valuable. CARGO stands to make a substantial profit while Roadeez may never recover financially.\n\nSUSPECTS: All Roadeez employees are suspects. They are:\n1. Michelle - CEO\n2. Daryl - Lead Software Engineer\n3. Xin - Software Engineer Intern\n4. Ivan - System Administrator\n5. Anna - Administrative Assistant\n\nEVIDENCE: We have obtained a collection of electronic documents from Roadeez. These documents include files from every employee's personal computer, as well as network logs from a company server and calendar entries for the week in question. We are turning these documents over for analysis."", 'Destination': '', 'Discovered': 'True', 'Document Source': 'Web', 'Document Type': 'Information', 'End Time': 2147483647, 'Importance': 0, 'Keyword': 'crime report police roadeez summary insider attack michelle ivan daryl xin anna', 'Name': 'police_report.pdf', 'Origin': '', 'Person': 'Michelle Daryl Xin Ivan Anna', 'Receiver': '', 'Sender': '', 'Start Time': 1588564800, 'Title': 'Police Report: Roadeez Insider Attack'}",{},1599766447200.0,-1105628286
y5pJjA2KTTJeos5uC,save search,"{'strings': {'Name': 'police_report.pdf'}, 'selects': {}, 'times': {}, 'locations': {}, 'flags': {}, 'readable': 'Saved Document: police_report.pdf - Police Report: Roadeez Insider Attack'}","{""$and"":[{""Keyword"":""/police/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}",1599766468896.0,-1105628286
cuYYxbtnNds2FAum9,save important document,"{'strings': {'Name': 'police_report.pdf'}, 'selects': {}, 'times': {}, 'locations': {}, 'flags': {}, 'readable': 'Saved Document: police_report.pdf - Police Report: Roadeez Insider Attack', 'type': 'save important document'}","{""strings"":{""Name"":""police_report.pdf""},""selects"":{},""times"":{},""locations"":{},""flags"":{},""readable"":""Saved Document: police_report.pdf - Police Report: Roadeez Insider Attack"",""type"":""save important document""}",1599766468898.0,-1105628286
xDDu4E2fQjwTWzaLe,user justification,"{'strings': {'Name': 'police_report.pdf'}, 'selects': {}, 'times': {}, 'locations': {}, 'flags': {}, 'readable': 'Saved Document: police_report.pdf - Police Report: Roadeez Insider Attack', 'type': 'save important document', 'reasoningText': 'Police report is a helpful document.', 'reasoningSelect': ""I'm saving this search to come back to later.""}","""{\""reasoningText\"":\""Police report is a helpful document.\"",\""reasoningSelect\"":\""I'm saving this search to come back to later.\"",\""searchText\"":\""Saved Document: police_report.pdf - Police Report: Roadeez Insider Attack\""}""",1599766479298.9998,-1105628286
5mQY5KzEBZFFSnqgT,switch tabs,{'tab': 'savedSearch'},"""{\""tab\"":\""savedSearch\""}""",1599766479333.0,-1105628286
Gb64kXaNvwWvsfiCz,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599766481846.0,-1105628286
BNXYiX34hqQwjEPP8,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599766481851.0,-1105628286
vEgKAtoKGqZ4SRt74,user justification,"{'strings': {'Name': '', 'Keyword': 'roadnav.exe', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""roadnav.exe"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'Looking for anything that mentions roadnav.', 'reasoningSelect': 'Looking for a specific document or specific information'}","""{\""reasoningText\"":\""Looking for anything that mentions roadnav.\"",\""reasoningSelect\"":\""Looking for a specific document or specific information\"",\""searchText\"":\""Any Document mentioning \\\""roadnav.exe\\\"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT\""}""",1599766499518.0,-1105628286
k9Gn9993Fn6ExgxdG,search,"{'strings': {'Name': '', 'Keyword': 'roadnav.exe', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""roadnav.exe"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'Looking for anything that mentions roadnav.', 'reasoningSelect': 'Looking for a specific document or specific information'}","{""query"":{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766499539.0,-1105628286
qq4vuztmeguwmSxiS,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599766499549.0,-1105628286
uom5GtBA854W4APR6,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599766499549.9998,-1105628286
8bSkpNx32JxSmMJix,search,"{'strings': {'Name': '', 'Keyword': 'roadnav.exe', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""roadnav.exe"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'Looking for anything that mentions roadnav.', 'reasoningSelect': 'Looking for a specific document or specific information'}","{""query"":{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766499551.0,-1105628286
bfySNAeiTrWquSgmZ,open modal,"{'_id': {'$oid': '5f109cbf6e8bb4f66633b1e8'}, 'Body': 'Daryl downloaded RoadNav.exe', 'Destination': {'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': ""Daryl's Computer""}, 'Discovered': 'True', 'Document Source': 'From Roadeez Software Server', 'Document Type': 'Network Log', 'End Time': 1588568400, 'Importance': 0, 'Keyword': 'downloaded RoadNav.exe daryl road nav exe', 'Name': 'server_log_0001.log', 'Origin': {'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}, 'Person': 'Daryl', 'Receiver': '', 'Sender': '', 'Start Time': 1588568400, 'Title': ""RoadNav.exe downloaded to Daryl's computer""}",{},1599766524396.9998,-1105628286
bRwCRAj5uAESa4aC8,save search,"{'strings': {'Name': 'server_log_0001.log'}, 'selects': {}, 'times': {}, 'locations': {}, 'flags': {}, 'readable': ""Saved Document: server_log_0001.log - RoadNav.exe downloaded to Daryl's computer""}","{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}",1599766527098.0,-1105628286
