_id,action,data,raw,time,user
7ZRyYahHA3kxoZDc8,search,{},"{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765737774.0,311605230
gAXhBgaiSn9qgyL9E,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1599765737829.0,311605230
XEPMTpzQe8Koks6mp,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1599765737831.0,311605230
MGxMGMjnRy254XQbR,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599765737832.0,311605230
o2xDKbH6BryYPu85k,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765738194.0,311605230
P7sf6av6qS6pfeukZ,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599765977065.0002,311605230
GzqG6YfaZjcXtG5xy,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599765977073.0,311605230
uQBwacyp3Au4mbuAi,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599765979147.0,311605230
3uni2ZQdALmAwY8zs,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599765979149.0,311605230
P4k3mfrR6HRPzoAg4,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599765979151.0,311605230
HKAAx7RtpyL9WaRjL,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765979151.0,311605230
orTQHWd7bkG2MnCSf,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599765979166.0,311605230
McYuduu4kn3f5ebce,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765979168.0,311605230
2WfMiCYHt5Py6kvei,switch display tabs,{'tab': 'displayTimeline'},"""{\""tab\"":\""displayTimeline\""}""",1599765991083.0,311605230
4tMh6zhJv34nSxtir,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1599765994674.0,311605230
Sr6KucYJFgrLJaYkp,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1599765994678.0,311605230
DMrar4CpvtNNbt8bP,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599765998781.9998,311605230
5eCvJStjT9ELPN3Y7,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599765998786.0,311605230
hinL8ggMdyNzcgqys,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599766010509.0002,311605230
hqijG3MexmHh92cws,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599766010510.0,311605230
szfh8cDeuaSciRNYm,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766010515.0,311605230
wNx2e3dTFZgytnAf7,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599766010515.9998,311605230
Sg4ChdbpMt8QGF9JT,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599766010523.0,311605230
