_id,action,data,raw,time,user
MkAYGS5m5MD358Axh,search,{},"{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1594924202909.0,1601372983
bzxnf98E6qFeq3pqM,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1594924202997.0,1601372983
rknYBkRrcGL2MDGQ4,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1594924203003.0,1601372983
Tzei4x9GNqTzqS3ZY,switch display tabs,{'tab': 'searchTable'},"""{\""tab\"":\""searchTable\""}""",1594924203005.0002,1601372983
tJ4p7pomsPbxhAsJd,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '', 'end': ''}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1594924203133.0,1601372983
eT5BkLT4LQPgogZz6,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1594924208943.0,1601372983
2LfF8fEhzvAfQrpEN,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1594924208947.0,1601372983
HiASzZusbJmTYC9DF,switch tabs,{'tab': 'webSearch'},"""{\""tab\"":\""webSearch\""}""",1594924244053.0,1601372983
2AiEARsBACAwmYmud,switch tabs,{'tab': 'webSearch'},"""{\""tab\"":\""webSearch\""}""",1594924244057.0,1601372983
h8gN879tEnQZiKqeX,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1594924245067.0,1601372983
2fJ4EEX9am5fWwo4p,switch display tabs,{'tab': 'searchTable'},"""{\""tab\"":\""searchTable\""}""",1594924245069.0,1601372983
h66H8dKjPgccnbyxk,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '', 'end': ''}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1594924245070.0,1601372983
R9smiDW4Ng7u9v7AH,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1594924245071.0,1601372983
cSoD54dppuEkjJWfo,switch display tabs,{'tab': 'searchTable'},"""{\""tab\"":\""searchTable\""}""",1594924245083.0,1601372983
gShPw6dKba45krKip,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '', 'end': ''}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1594924245085.0,1601372983
zZp8p2aMPbro3TCbM,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1594924255931.9998,1601372983
G8P7jaRDYK8hSMFZP,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1594924255936.0,1601372983
qb2W9sN9SgnSda5NA,search,{},"{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1594924296066.0,1601372983
wJoqmdN6riT9cbTLD,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1594924296138.0002,1601372983
4pSh8NNxSae65aya5,switch tabs,{'tab': 'instructions'},"""{\""tab\"":\""instructions\""}""",1594924296143.0002,1601372983
gcft2zz3mjqd6JYus,switch display tabs,{'tab': 'searchTable'},"""{\""tab\"":\""searchTable\""}""",1594924296144.0,1601372983
5zKWmyYkzZWnABRi7,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T00:00:00', 'end': '2020-05-08T23:59:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 12:00 AM EDT till Fri, May 8, 2020 11:59 PM EDT'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1594924296242.0,1601372983
aAQykG5G6PGvTRQtx,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1594924297832.9998,1601372983
NQtiGTCcvTtFnWAHw,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1594924297837.9998,1601372983
